ts,listing_key,kodagar,antal_sokande
2026-07-01T08:44:53+02:00,1407-6608-011__2026-06-29,165,1
2026-07-01T08:44:53+02:00,2118-0404-043__2026-06-29,385,3
2026-07-01T08:44:53+02:00,2118-0405-044__2026-06-29,385,3
2026-07-01T08:44:53+02:00,2118-0407-047__2026-06-29,391,4
2026-07-01T08:44:53+02:00,2118-0405-004__2026-06-29,348,3
2026-07-01T08:44:53+02:00,2118-0408-005__2026-06-29,348,4
2026-07-01T08:44:53+02:00,2118-0408-009__2026-06-29,380,5
2026-07-01T08:44:53+02:00,2118-0405-080__2026-06-29,391,4
2026-07-01T08:44:53+02:00,2118-0406-074__2026-06-29,385,5
2026-07-01T08:44:53+02:00,2204-0506-009__2026-06-29,1740,26
2026-07-01T08:44:53+02:00,2303-0912-002__2026-06-29,1296,12
2026-07-01T08:44:53+02:00,2303-0908-006__2026-06-29,1497,8
2026-07-01T08:44:53+02:00,2405-0503-005__2026-06-29,90,6
2026-07-01T08:44:53+02:00,2405-0504-002__2026-06-29,90,4
2026-07-01T08:44:53+02:00,2405-0505-011__2026-06-29,90,3
2026-07-01T08:44:53+02:00,2405-0506-003__2026-06-29,231,3
2026-07-01T08:44:53+02:00,2405-0507-003__2026-06-29,90,2
2026-07-01T08:44:53+02:00,3213-6704-008__2026-06-29,1497,12
2026-07-01T08:44:53+02:00,3419-3603-009__2026-06-29,1811,3
2026-07-01T08:44:53+02:00,3419-3703-003__2026-06-29,89,5
2026-07-01T08:44:53+02:00,3622-9905-062__2026-06-29,638,15
2026-07-01T08:44:53+02:00,3622-9908-044__2026-06-29,638,14
2026-07-01T08:44:53+02:00,4210-0113-031__2026-06-29,88,4
2026-07-01T08:44:53+02:00,4415-0103-001__2026-06-29,717,2
2026-07-01T08:44:53+02:00,4415-0103-052__2026-06-29,932,9
2026-07-01T08:44:53+02:00,4415-0109-004__2026-06-29,939,5
2026-07-01T08:44:53+02:00,4703-1506-1507__2026-06-29,90,2
2026-07-01T08:44:53+02:00,4703-1508-1709__2026-06-29,661,3
2026-07-01T08:44:53+02:00,5102-3203-011__2026-06-29,245,5
2026-07-01T08:44:53+02:00,5102-3205-022__2026-06-29,245,5
2026-07-01T08:44:53+02:00,5102-3210-025__2026-06-29,238,7
2026-07-01T08:44:53+02:00,7404-2203-018__2026-06-29,90,6
2026-07-01T08:44:53+02:00,5201-0102-043__2026-06-29,245,5
2026-07-01T08:44:53+02:00,5201-0108-012__2026-06-29,253,5
2026-07-01T08:44:53+02:00,5201-0110-013__2026-06-29,306,4
2026-07-01T08:44:53+02:00,7404-2304-016__2026-06-29,315,5
